num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.002531,0.001215,63838.000000,255688.878661,3999.598084,15994.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.991735,15.000000,0.000551,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.000687,0.000233,63956.000000,255940.240927,3999.850602,15996.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.988912,15.000000,0.000739,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.003281,0.001529,63790.000000,255608.561238,3999.457631,15988.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.986571,15.000000,0.000895,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.007156,0.003445,63542.000000,255117.962321,3998.840561,15980.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.976953,15.000000,0.001536,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.000766,0.000256,63951.000000,255934.541696,3999.836354,15995.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.975670,15.000000,0.001622,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.001453,0.000489,63907.000000,255874.782623,3999.686957,15991.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.990729,15.000000,0.000618,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.001500,0.000627,63904.000000,255839.365154,3999.719093,15988.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.988388,15.000000,0.000774,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.002563,0.001072,63836.000000,255725.653432,3999.551545,15984.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.983470,15.000000,0.001102,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.006437,0.002988,63588.000000,255235.054515,3998.934475,15976.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.973852,15.000000,0.001743,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.001531,0.000511,63902.000000,255869.083392,3999.672708,15990.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.972569,15.000000,0.001829,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
