num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.000014,0.000001,2399966.000000,25599967.225993,49999.919936,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.986749,100.000000,0.000133,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,11,1.000000,1.000000,14,0.000022,1,1
1,2.000000,2.432191,0.005819,0.000582,0,0.000000,121609557.779324,0.000015,0.000001,2399964.000000,25599964.793802,49999.914117,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.986167,100.000000,0.000138,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,12,1.000000,1.000000,15,0.000022,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.000075,0.000007,1439892.000000,15359895.548837,29999.738872,119982.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.984493,100.000000,0.000155,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,18,1.000000,1.000000,16,0.000233,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000018,0.000002,2399956.000000,25599957.323918,49999.895530,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.983563,100.000000,0.000164,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,14,1.000000,1.000000,17,0.000089,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.000081,0.000007,1439884.000000,15359887.526164,29999.718815,119980.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.982560,100.000000,0.000174,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,20,1.000000,1.000000,18,0.000089,2,1
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.000019,0.000002,2399954.000000,25599955.490593,49999.891308,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.982138,100.000000,0.000179,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,15,1.000000,1.000000,19,0.000022,1,1
1,2.000000,2.432191,0.005819,0.000582,0,0.000000,121609557.779324,0.000020,0.000002,2399952.000000,25599953.058402,49999.885489,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.981556,100.000000,0.000184,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,16,1.000000,1.000000,20,0.000022,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.000095,0.000009,1439863.000000,15359867.430378,29999.668576,119977.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.979882,100.000000,0.000201,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,23,1.000000,1.000000,21,0.000233,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000023,0.000002,2399944.000000,25599945.588518,49999.866903,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.978952,100.000000,0.000210,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,18,1.000000,1.000000,22,0.000089,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.000101,0.000009,1439855.000000,15359859.407705,29999.648519,119975.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.977949,100.000000,0.000221,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,25,1.000000,1.000000,23,0.000089,2,1
